Type,Type2,Price,Sold Date,Bedrooms,Bathrooms,Area,Acres,Age,DoM,Unit No,Building No,Street,City,Address
House,2 Storey w/Bsmt.,2618000,09/03/2017,7,4,3784,0.21,73,77,1877,W 63RD,"AVENUE,",Vancouver,"1877 W 63RD AVENUE, Vancouver"
House,2 Storey,1895500,07/12/2018,7,3,3679,0.13,62,216,522,W 62ND,"AVENUE,",Vancouver,"522 W 62ND AVENUE, Vancouver"
House,2 Storey w/Bsmt.,4182000,15/06/2017,7,7,4368,0.15,1 year,139,1856,W 62ND,"AVENUE,",Vancouver,"1856 W 62ND AVENUE, Vancouver"
House,2 Storey w/Bsmt.,1791800,13/06/2017,5,4,2420,0.09,27,299,747,W 62ND,"AVENUE,",Vancouver,"747 W 62ND AVENUE, Vancouver"
Townhouse,3 Storey,1394000,17/12/2017,4,3,1654,,New,15,280,W 62ND,"AVENUE,",Vancouver,"280 W 62ND AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2210000,25/10/2017,7,5,2542,0.08,11,262,898,W 61ST,"AVENUE,",Vancouver,"898 W 61ST AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2286500,13/02/2017,6,5,3218,0.12,20,33,741,W 61ST,"AVENUE,",Vancouver,"741 W 61ST AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2286500,13/02/2017,6,5,3218,0.12,20,33,741,W 61ST,"AVENUE,",Vancouver,"741 W 61ST AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2422500,30/12/2017,7,8,3294,0.09,4,113,871,W 61ST,"AVENUE,",Vancouver,"871 W 61ST AVENUE, Vancouver"
House,3 Storey,4080000,15/12/2017,6,7,4380,0.15,1 year,126,1756,W 61ST,"AVENUE,",Vancouver,"1756 W 61ST AVENUE, Vancouver"
House,2 Storey w/Bsmt.,3262300,27/04/2017,6,6,3908,0.12,2,8,747,W 61ST,"AVENUE,",Vancouver,"747 W 61ST AVENUE, Vancouver"
House,Rancher w/Bsmt.,1428000,22/03/2018,5,2,2712,0.12,60,43,82,W 60TH,"AVENUE,",Vancouver,"82 W 60TH AVENUE, Vancouver"
House,"2 Storey w/Bsmt., Laneway House",2574285.35,13/11/2017,6,7,3239,0.09,New,78,1895,W 60TH,"AVENUE,",Vancouver,"1895 W 60TH AVENUE, Vancouver"
House,Rancher,1452554.8,17/08/2017,5,2,1753,0.1,65,100,807,W 60TH,"AVENUE,",Vancouver,"807 W 60TH AVENUE, Vancouver"
House,"2 Storey w/Bsmt., Laneway House",2833333.05,09/09/2017,6,7,3189,0.09,1 year,59,1899,W 60TH,"AVENUE,",Vancouver,"1899 W 60TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2210000,21/11/2017,5,3,2443,0.08,13,12,3548,W 5TH,"AVENUE,",Vancouver,"3548 W 5TH AVENUE, Vancouver"
House,Rancher w/Bsmt.,2035750,09/03/2017,4,2,2240,0.13,97,3,3112,W 5TH,"AVENUE,",Vancouver,"3112 W 5TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2023000,08/03/2018,4,2,2399,0.13,80,16,1742,W 59TH,"AVENUE,",Vancouver,"1742 W 59TH AVENUE, Vancouver"
Townhouse,"2 Storey w/Bsmt., Corner Unit",1490730,18/01/2018,5,4,1979,,15,10,961,W 59TH,"AVENUE,",Vancouver,"961 W 59TH AVENUE, Vancouver"
Townhouse,3 Storey,1496000,24/07/2017,4,3,1637,,New,7,1485,W 59TH,"AVENUE,",Vancouver,"1485 W 59TH AVENUE, Vancouver"
House,Rancher w/Bsmt.,1381250,16/06/2017,4,1,1730,0.1,69,88,818,W 59TH,"AVENUE,",Vancouver,"818 W 59TH AVENUE, Vancouver"
Townhouse,3 Storey,1482230,10/09/2017,5,4,1954,,14,39,871,W 59TH,"AVENUE,",Vancouver,"871 W 59TH AVENUE, Vancouver"
House,2 Storey w/Bsmt.,2873000,29/04/2017,6,3,3880,0.18,38,6,1623,W 59TH,"AVENUE,",Vancouver,"1623 W 59TH AVENUE, Vancouver"
House,2 Storey,1507050,25/04/2017,5,2,2115,,56,21,870,W 59TH,"AVENUE,",Vancouver,"870 W 59TH AVENUE, Vancouver"
House,Rancher w/Bsmt.,3017500,14/12/2017,4,2,2621,0.21,69,59,1332,W 58TH,"AVENUE,",Vancouver,"1332 W 58TH AVENUE, Vancouver"
